Cycle,V_mean,V_std,V_min,V_max,V_range,V_p10,V_p90,V_slope,V_integ,I_mean,I_std,I_min,I_max,T_mean,T_std,T_rise,T_max,T_slope,power,dur,Capacity,SOH
1,3.556946061827572,0.2260193210975841,2.4757677568281857,4.179823027658306,1.70405527083012,3.3493627394214034,3.819150644888732,-0.0036077050323611655,3.5400537588728467,-1.990533350635129,0.2014980448792201,-2.015537581193984,0.00043376246575117864,32.142777859921516,3.4516879795744755,14.885419022055185,39.16298653238707,0.059713462596004734,7.067507169844355,197.0,2.035337591005598,100.0
2,3.56147580138708,0.23141504289722925,2.35152551190002,4.177288238505559,1.8257627266055394,3.3601975447704726,3.825108049673946,-0.0036483305777197344,3.544820664268698,-1.990277542145709,0.2019092784154672,-2.0149020169266376,-0.00020764608327879694,32.29307515705474,3.3954199016861684,14.597592064472941,39.2462026826329,0.059116552392852906,7.075725020990669,196.0,2.0251402460314116,99.49898508143073
3,3.5667524696413215,0.22354896090021636,2.4404797151065436,4.1781213228922995,1.737641607785756,3.3657973358236726,3.8285919523835834,-0.003594269006726013,3.549782533267719,-1.9899467848963859,0.20247271551126877,-2.014434345552428,-0.0006575492150127537,32.24414709253608,3.3498112511075084,14.29514474122907,38.999202460252846,0.058647619220543366,7.085082722336855,195.0,2.013326371345464,98.91854698908898
4,3.5687953371516272,0.22097908742082084,2.4791558539003917,4.1785623580417175,1.6994065041413258,3.3677383546515114,3.830081588779927,-0.0035903925244794004,3.551636764094964,-1.9896009282099438,0.202976043273228,-2.0142051662535234,0.0001981188152475248,32.14711742429942,3.34097552798371,14.193124671410438,38.843627771866515,0.058801718290852296,7.087875819203008,194.0,2.0132846655407413,98.91649790372313
5,3.563970503289941,0.23503509475204634,2.280187848173442,4.17824995156942,1.898062103395978,3.3630222625416315,3.8302888857963326,-0.00371861349043957,3.547325648907001,-1.9895483606575701,0.20279390598185937,-2.013995769332238,-0.0011423311186216645,32.06687277315468,3.335733628730513,14.343782682671154,38.97798888258284,0.05872782479188722,7.077946303501669,194.0,2.000528337624771,98.28975529491258
6,3.5735512387791406,0.22547907676393128,2.4392842568466446,4.193216523251186,1.7539322664045414,3.369882314070103,3.8406557716693666,-0.003641520006927218,3.55654482652248,-1.9901040351037365,0.2022953831615659,-2.0151519685741275,-0.0015410535505561715,32.03447836207717,3.4066857624064704,14.496499603062826,38.83989920742278,0.059614387890457386,7.098988443927815,195.0,2.0138990759931645,98.9466850557287
7,3.5711391343785897,0.2359700655161548,2.2812068449406446,4.193732603145628,1.9125257582049837,3.3676774489146384,3.8426313765494324,-0.0037376646135782146,3.554536862239795,-1.9900886222380372,0.20215665889240747,-2.0145081864690626,-0.0031490941234930576,32.11157496697372,3.418111771999715,14.615161985540034,39.04610837498471,0.05982871901701017,7.094038427487726,195.0,2.013101105626967,98.907479256665
8,3.5681507462163036,0.22690300607421549,2.366410527029613,4.176826628115461,1.8104161010858482,3.3675949402294223,3.8317005419448775,-0.0036989743571268106,3.5510218531400084,-1.9891170520197212,0.20448152340391518,-2.0146816699579064,-0.0008455879137331849,32.112576242471775,3.361489124744099,14.224639738796085,38.87507521022778,0.06016038997895239,7.084679611590894,191.0,1.9687898262728398,96.73038197560734
9,3.5692834155812436,0.2225588245195615,2.436020049578708,4.176369138969733,1.740349089391025,3.368004781999919,3.831519107144543,-0.003679171671923975,3.5518829193349286,-1.9892116643905464,0.20469906582242786,-2.015071955488147,-0.0009662247647393986,32.03566207329278,3.3625006565584763,14.161077074102831,38.7260539826455,0.060501602358353966,7.087269461827753,190.0,1.9681661764334244,96.69974087497759
10,3.563388513484579,0.24025262256048352,2.1864377487643725,4.176897989902666,1.9904602411382935,3.3627190110183474,3.831511776843308,-0.003840060520280027,3.5466428931196643,-1.989191243247005,0.20487136240289794,-2.0155176072270926,0.00013882260841396987,31.99527968872302,3.385578589102732,14.460863042368572,38.98629728904917,0.06092587700298263,7.075326357376339,190.0,1.9572307917560536,96.16246466459876
11,3.566658719765511,0.2287529216435241,2.3406023605912454,4.177579509962451,1.8369771493712053,3.3644074353415534,3.8315070197104797,-0.003763535341716009,3.5494148523830944,-1.9891317699701738,0.20545737080452486,-2.014079047237871,-0.0021060459646946015,31.874127571841353,3.3793205188021544,14.24774098008703,38.65978861919643,0.0611542745247942,7.0815828863468475,189.0,1.9455991514129352,95.59098009149795
12,3.5687035970122842,0.2245021597962224,2.4263021374140443,4.177996110793395,1.7516939733793508,3.3649949239883568,3.8332317084691474,-0.003773935692290186,3.5510453809275013,-1.9887805507702212,0.20658439837520928,-2.0134697854511865,-0.000990785360248984,32.120959708576166,3.3808182139223475,14.183724388640751,38.84979195732924,0.06185371288270383,7.0843103756639385,187.0,1.9347505044841131,95.05796547137973
13,3.569207084156356,0.22161053340015757,2.4753697700007034,4.176316409477926,1.7009466394772228,3.365302685305654,3.8333204084882224,-0.0037686745689294913,3.55132672323381,-1.9887320866401275,0.20729429121144527,-2.0148749194363664,-0.00032364926356916147,32.11021168908644,3.3388085030048718,13.91798085591655,38.75128344015104,0.061454371970671856,7.08508188404556,186.0,1.9232799539368028,94.49439554578115
14,3.5659271296109383,0.22991046226842987,2.342364523655007,4.1779924550101715,1.8356279313551647,3.361066393097418,3.8335988950252293,-0.0038541326839383007,3.5483998481082484,-1.9887200290368634,0.20720696558261123,-2.0144081790374893,-0.0004261867664927878,31.989061278918154,3.374254229146447,14.137887545501862,38.76853764058789,0.062108750232663185,7.078364100110357,186.0,1.911889930948487,93.93478209204011
15,3.5612417270649486,0.24035876978340462,2.188400081882664,4.177439981618572,1.989039899735908,3.355867262131608,3.8318012284396277,-0.003969793528866315,3.5440377740715405,-1.9887874042287874,0.2076990497369646,-2.014472686005532,-0.0010580730504302503,31.878814448635442,3.4094253817648514,14.38494548416326,38.84686112344348,0.0630938978915332,7.069193417490819,185.0,1.9010667141979305,93.40301690486008
16,3.557881987836072,0.24452370921534203,2.1206980945954057,4.17561570814845,2.054917613553044,3.3526175775829983,3.829134597994384,-0.004024207909528707,3.5407727830285487,-1.9885910895930397,0.20803603116200292,-2.0146756268214814,-0.0037766213378683127,31.767450711024402,3.442042131356067,14.59716866851159,38.865889781652804,0.06404842518647823,7.061758342653269,184.0,1.8891989948061458,92.81993331989463
17,3.56282437243777,0.22899254958827592,2.369981457799298,4.177602520456299,1.8076210626570006,3.35514007224787,3.8307006094842535,-0.003920629596310146,3.544935444070252,-1.9884892463229662,0.20896148657331484,-2.015931347705288,0.0009547908042232252,31.78991634963658,3.4218510147625074,14.292860582139127,38.647578733807656,0.0640404714969909,7.071191235862097,183.0,1.878278372248849,92.2833824005014
18,3.5591953280168633,0.2362539061879907,2.247991649924625,4.176354539745044,1.928362889820419,3.3509934332993825,3.8294591637798607,-0.0040103113126798715,3.5415460252979907,-1.9883474274444874,0.20936627777425315,-2.01432419683381,0.0003362560415229371,31.82883467218067,3.438861518594519,14.407922850132987,38.79218188173866,0.06472433697765242,7.063301213828266,182.0,1.8675697161520206,91.75724579573611
19,3.5580906165580983,0.23248821605250242,2.4115317107898875,4.177450270459645,1.7659185596697577,3.3443872645797144,3.8297709671790905,-0.004022261894435312,3.5386906911528375,-1.9774549866256104,0.2555143974441181,-2.015920256743369,-0.0022772410696178776,31.890449470827843,3.452471732465585,14.304349588863694,38.77022223929529,0.06500768987366656,7.02971097683901,182.0,1.8675892574453767,91.75820589657847
20,3.565899462157853,0.23666435566343638,2.2033558468593775,4.174584178175673,1.9712283313162953,3.3673104429045857,3.8333183929451486,-0.003761794862485199,3.549290243342657,-1.9892347833261184,0.20388604102481026,-2.0202081897757225,0.0009741380235390647,31.51177053595285,3.103623335557848,13.031594284562697,37.54320599748628,0.055221865172277215,7.08066617482351,192.0,1.979626548250818,97.26281070025072
