Cycle,V_mean,V_std,V_min,V_max,V_range,V_p10,V_p90,V_slope,V_integ,I_mean,I_std,I_min,I_max,T_mean,T_std,T_rise,T_max,T_slope,power,dur,Capacity,SOH
1,3.522006703394617,0.2874452516516924,2.145975766935391,4.199497433806136,2.0535216668707448,3.1631713155043744,3.827829330320458,-0.004476584957445708,3.503576570828939,-1.8691188840185695,0.4752966796525294,-1.9968672421771276,0.0009103844987851796,32.62485875142121,3.8821725491629793,13.401434542794036,40.59042914535701,0.06698403763046996,6.624980577651047,197.0,1.89105229539079,100.0
2,3.5319490434317116,0.2797089856913086,2.1110166987852117,4.198510349854315,2.0874936510691033,3.198825278259723,3.832879436979228,-0.004376676430813883,3.513384034126028,-1.8680422715350309,0.47659959994822176,-1.9943911963511516,0.003601550603928921,32.738209593287145,3.767777623445933,12.894650786177674,40.26023408628707,0.06539193575349261,6.639760700063585,196.0,1.880637027686859,99.44923428456647
3,3.5344025220217845,0.28372654574505013,2.0251085128182655,4.198280074112568,2.1731715612943026,3.225678200481766,3.8357024576492535,-0.004413717111038182,3.515783174275093,-1.877784734502072,0.4584167741596034,-1.994681656822022,-0.0010276902277484255,32.68511456550919,3.746724750145294,13.179528534553167,40.27558633997852,0.06542593074835057,6.675209411850819,195.0,1.8806626717011388,99.45059035569906
4,3.53492504932652,0.29008702878464626,1.922542180649595,4.198267468745592,2.2757252880959973,3.2456857749903363,3.8366936157651623,-0.004471448400622795,3.5162720527828277,-1.8875256535871228,0.43922371626617773,-1.9952731083659303,-0.0006983471237198692,32.554748499572646,3.748713692085809,13.62655799624001,40.29314715799111,0.06580954014468005,6.707176467154983,194.0,1.8807709009833444,99.45631358622364
5,3.534536640068787,0.29220641599968367,1.8711590450649882,4.198464224146956,2.3273051790819674,3.245217544736012,3.837257110010596,-0.00448282652803456,3.515872641610284,-1.8871559747738404,0.439454184988277,-1.9935500451030046,0.0005983417342468405,32.46787845303298,3.757399994843755,13.697562862372283,40.268872630219796,0.06595619317950922,6.705140001579737,194.0,1.8794508728285058,99.38650969142624
6,3.5411626672196816,0.26674308476358344,2.1756867065903434,4.197967993115647,2.0222812865253035,3.220873620586544,3.8374336538125493,-0.004246900885296679,3.522390126269672,-1.8675154082122565,0.47752624091693197,-1.9941041745764116,-0.00042434758525011757,32.48624734055599,3.7187797514899983,12.532638623275002,39.67620802332074,0.06491439246789739,6.65194523880405,195.0,1.8807003517117404,99.45258289766596
7,3.541165612176161,0.27118633921124835,2.1117887156019437,4.198023461704379,2.086234746102435,3.2203464389026153,3.839239997108383,-0.004286890160064054,3.5224054232636393,-1.8673304059806155,0.4774906738400573,-1.993164510431567,0.0005401764510727361,32.55779966353037,3.7152261569509877,12.590241054160227,39.803817662926164,0.06487300947351221,6.652238447620495,195.0,1.8799352523566075,99.41212397661985
8,3.5494581176357975,0.27297824294152273,2.026250619894166,4.199372697237068,2.1731220773429025,3.298368794632758,3.843441987369134,-0.004329232547392105,3.530485263976166,-1.9063154499484403,0.3979115030496563,-1.9936540341331743,-0.0003281718194490804,32.45374435641106,3.66750069286357,13.941462767814407,39.88810476942348,0.06545252455128797,6.789979549650176,191.0,1.8815088124038797,99.49533479268811
9,3.5502805464079743,0.2771296154486181,1.9505894332906037,4.19921182024681,2.2486223869562063,3.3101805617658604,3.8442027934472183,-0.004364491349907827,3.5312949678947607,-1.9164259300038171,0.37443743546277825,-1.99377953803378,0.0005697252689816581,32.373246444985035,3.662879470802171,14.405439438919146,39.95162250671474,0.06568836915882173,6.823047906062785,190.0,1.8696907870385844,98.87039039563994
10,3.5481347674910286,0.283812978267983,1.8688247067658061,4.198957678253482,2.330132971487676,3.3075688156091223,3.844139974846542,-0.004422339602183499,3.529176126456158,-1.9165016044519978,0.3742086617157418,-1.9937831213829802,0.0035107556642499692,32.30534276235138,3.6783546666995868,14.55373164983023,40.052021854718284,0.06595621430625458,6.819785607613357,190.0,1.870052380139199,98.88951165957833
